ticker,Date,SplitRatio
CHNR,1997-01-16 00:00:00-05:00,0.1
CHNR,1999-06-14 00:00:00-04:00,0.1
CHNR,2023-04-03 00:00:00-04:00,0.2
CHNR,2025-06-13 00:00:00-04:00,0.125
CLF,1975-12-16 00:00:00-05:00,2.0
CLF,1978-09-18 00:00:00-04:00,2.0
CLF,2005-01-03 00:00:00-05:00,2.0
CLF,2006-07-03 00:00:00-04:00,2.0
CLF,2008-05-16 00:00:00-04:00,2.0
CMCSA,1980-05-16 00:00:00-04:00,1.5
CMCSA,1981-04-13 00:00:00-05:00,1.5
CMCSA,1983-01-06 00:00:00-05:00,1.5
CMCSA,1984-09-19 00:00:00-04:00,1.5
CMCSA,1985-06-28 00:00:00-04:00,1.5
CMCSA,1986-12-19 00:00:00-05:00,1.5
CMCSA,1988-04-11 00:00:00-04:00,1.5
CMCSA,1989-10-25 00:00:00-04:00,1.5
CMCSA,1994-02-03 00:00:00-05:00,1.5
CMCSA,1999-05-06 00:00:00-04:00,2.0
CMCSA,2007-02-22 00:00:00-05:00,1.5
CMCSA,2017-02-21 00:00:00-05:00,2.0
CNET,2016-08-19 00:00:00-04:00,0.4
CNET,2023-01-20 00:00:00-05:00,0.2
CNET,2024-09-30 00:00:00-04:00,0.25
COP,1985-07-05 00:00:00-04:00,3.0
COP,2005-06-02 00:00:00-04:00,2.0
COP,2012-05-01 00:00:00-04:00,1.311791
CREG,2016-05-26 00:00:00-04:00,0.1
CREG,2020-04-15 00:00:00-04:00,0.1
CRM,2013-04-18 00:00:00-04:00,4.0
CSCO,1991-03-18 00:00:00-05:00,2.0
CSCO,1992-03-23 00:00:00-05:00,2.0
CSCO,1993-03-22 00:00:00-05:00,2.0
CSCO,1994-03-21 00:00:00-05:00,2.0
CSCO,1996-02-20 00:00:00-05:00,2.0
CSCO,1997-12-17 00:00:00-05:00,1.5
CSCO,1998-09-16 00:00:00-04:00,1.5
CSCO,1999-06-22 00:00:00-04:00,2.0
CSCO,2000-03-23 00:00:00-05:00,2.0
CSX,1983-10-26 00:00:00-04:00,3.0
CSX,1995-12-22 00:00:00-05:00,2.0
CSX,2006-08-16 00:00:00-04:00,2.0
CSX,2011-06-16 00:00:00-04:00,3.0
CSX,2021-06-29 00:00:00-04:00,3.0
CTRA,2005-04-01 00:00:00-05:00,1.5
CTRA,2007-04-02 00:00:00-04:00,2.0
CTRA,2012-01-26 00:00:00-05:00,2.0
CTRA,2013-08-15 00:00:00-04:00,2.0
CVS,1983-05-03 00:00:00-04:00,2.0
CVS,1989-03-15 00:00:00-05:00,2.0
CVS,1998-06-16 00:00:00-04:00,2.0
CVS,2005-06-07 00:00:00-04:00,2.0
CVX,1962-12-17 00:00:00-05:00,1.05
CVX,1973-12-11 00:00:00-05:00,2.0
CVX,1981-03-11 00:00:00-05:00,2.0
CVX,1994-06-13 00:00:00-04:00,2.0
CVX,2004-09-13 00:00:00-04:00,2.0
D05.SI,2024-04-22 00:00:00+08:00,1.1
DIS,1962-12-18 00:00:00-05:00,1.03
DIS,1967-11-16 00:00:00-05:00,2.0
DIS,1971-03-01 00:00:00-05:00,2.0
DIS,1973-01-16 00:00:00-05:00,2.0
DIS,1986-03-06 00:00:00-05:00,4.0
DIS,1992-05-18 00:00:00-04:00,4.0
DIS,1998-07-10 00:00:00-04:00,3.0
DIS,2007-06-13 00:00:00-04:00,1.0136847440446022
DVN,2004-11-16 00:00:00-05:00,2.0
EBAY,1999-03-02 00:00:00-05:00,3.0
